Model,Checkpoint,Task,Metric,Run 1,Run 2,Run 3,Average,Task_family,Percentage,olmo-params,Flops
OLMo-2-0325-32B,OLMo-2-0325-32B-29pct,triviaqa_adv_OLMo-2-0325-32B-29pct,"answer_exists,none",0.0,0.0,0.0,0.0,triviaqa_adv,0.29,32,5.811380485254219
OLMo-2-0325-32B,OLMo-2-0325-32B-42pct,bbh_adv_OLMo-2-0325-32B-42pct,"exact_match,get-answer",0.0051020408163265,0.0051020408163265,0.0051020408163265,0.0051020408163265,bbh_adv,0.42,32,6.181754273551114
OLMo-2-0325-32B,OLMo-2-0325-32B-42pct,cruxeval_i_adv_OLMo-2-0325-32B-42pct,"pass@1,create_test",0.005524861878453,0.011049723756906,0.005524861878453,0.007366482504604,cruxeval_i_adv,0.42,32,6.181754273551114
OLMo-2-0325-32B,OLMo-2-0325-32B-42pct,cruxeval_o_adv_OLMo-2-0325-32B-42pct,"pass@1,create_test",0.0,0.0,0.0,0.0,cruxeval_o_adv,0.42,32,6.181754273551114
OLMo-2-0325-32B,OLMo-2-0325-32B-42pct,gsm8k-platinum_adv_OLMo-2-0325-32B-42pct,"exact_match,flexible-extract",0.04,0.04,0.04,0.04,gsm8k-platinum_adv,0.42,32,6.181754273551114
OLMo-2-0325-32B,OLMo-2-0325-32B-42pct,gsm8k_adv_OLMo-2-0325-32B-42pct,"exact_match,flexible-extract",0.0147058823529411,0.0147058823529411,0.0147058823529411,0.0147058823529411,gsm8k_adv,0.42,32,6.181754273551114
OLMo-2-0325-32B,OLMo-2-0325-32B-42pct,triviaqa_adv_OLMo-2-0325-32B-42pct,"exact_match,none",0.0,0.0,0.0,0.0,triviaqa_adv,0.42,32,6.181754273551114
OLMo-2-0325-32B,OLMo-2-0325-32B-42pct,triviaqa_adv_OLMo-2-0325-32B-42pct,"answer_exists,none",0.0,0.0,0.0,0.0,triviaqa_adv,0.42,32,6.181754273551114
OLMo-2-0325-32B,OLMo-2-0325-32B-50pct,bbh_adv_OLMo-2-0325-32B-50pct,"exact_match,get-answer",0.010204081632653,0.010204081632653,0.010204081632653,0.010204081632653,bbh_adv,0.5,32,6.3561076606958915
OLMo-2-0325-32B,OLMo-2-0325-32B-50pct,cruxeval_i_adv_OLMo-2-0325-32B-50pct,"pass@1,create_test",0.0165745856353591,0.0165745856353591,0.0165745856353591,0.0165745856353591,cruxeval_i_adv,0.5,32,6.3561076606958915
OLMo-2-0325-32B,OLMo-2-0325-32B-50pct,cruxeval_o_adv_OLMo-2-0325-32B-50pct,"pass@1,create_test",0.0,0.0,0.0,0.0,cruxeval_o_adv,0.5,32,6.3561076606958915
OLMo-2-0325-32B,OLMo-2-0325-32B-50pct,gsm8k-platinum_adv_OLMo-2-0325-32B-50pct,"exact_match,flexible-extract",0.0,0.0,0.0,0.0,gsm8k-platinum_adv,0.5,32,6.3561076606958915
OLMo-2-0325-32B,OLMo-2-0325-32B-50pct,gsm8k_adv_OLMo-2-0325-32B-50pct,"exact_match,flexible-extract",0.0,0.0147058823529411,0.0,0.0049019607843137,gsm8k_adv,0.5,32,6.3561076606958915
OLMo-2-0325-32B,OLMo-2-0325-32B-50pct,triviaqa_adv_OLMo-2-0325-32B-50pct,"exact_match,none",0.0,0.0,0.0,0.0,triviaqa_adv,0.5,32,6.3561076606958915
OLMo-2-0325-32B,OLMo-2-0325-32B-50pct,triviaqa_adv_OLMo-2-0325-32B-50pct,"answer_exists,none",0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,triviaqa_adv,0.5,32,6.3561076606958915
OLMo-2-0325-32B,OLMo-2-0325-32B-60pct,bbh_adv_OLMo-2-0325-32B-60pct,"exact_match,get-answer",0.064625850340136,0.0629251700680272,0.064625850340136,0.0640589569160997,bbh_adv,0.6,32,6.5384292174898455
OLMo-2-0325-32B,OLMo-2-0325-32B-60pct,cruxeval_i_adv_OLMo-2-0325-32B-60pct,"pass@1,create_test",0.005524861878453,0.005524861878453,0.011049723756906,0.007366482504604,cruxeval_i_adv,0.6,32,6.5384292174898455
OLMo-2-0325-32B,OLMo-2-0325-32B-60pct,cruxeval_o_adv_OLMo-2-0325-32B-60pct,"pass@1,create_test",0.0123456790123456,0.0082304526748971,0.0082304526748971,0.0096021947873799,cruxeval_o_adv,0.6,32,6.5384292174898455
OLMo-2-0325-32B,OLMo-2-0325-32B-60pct,gsm8k-platinum_adv_OLMo-2-0325-32B-60pct,"exact_match,flexible-extract",0.0,0.0,0.0,0.0,gsm8k-platinum_adv,0.6,32,6.5384292174898455
OLMo-2-0325-32B,OLMo-2-0325-32B-60pct,gsm8k_adv_OLMo-2-0325-32B-60pct,"exact_match,flexible-extract",0.0,0.0,0.0,0.0,gsm8k_adv,0.6,32,6.5384292174898455
OLMo-2-0325-32B,OLMo-2-0325-32B-60pct,triviaqa_adv_OLMo-2-0325-32B-60pct,"exact_match,none",0.0,0.0,0.0,0.0,triviaqa_adv,0.6,32,6.5384292174898455
OLMo-2-0325-32B,OLMo-2-0325-32B-60pct,triviaqa_adv_OLMo-2-0325-32B-60pct,"answer_exists,none",0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,triviaqa_adv,0.6,32,6.5384292174898455
OLMo-2-0325-32B,OLMo-2-0325-32B-70pct,bbh_adv_OLMo-2-0325-32B-70pct,"exact_match,get-answer",0.0391156462585034,0.0391156462585034,0.0374149659863945,0.0385487528344671,bbh_adv,0.7000000000000001,32,6.6925798973171045
OLMo-2-0325-32B,OLMo-2-0325-32B-70pct,cruxeval_i_adv_OLMo-2-0325-32B-70pct,"pass@1,create_test",0.005524861878453,0.005524861878453,0.005524861878453,0.005524861878453,cruxeval_i_adv,0.7000000000000001,32,6.6925798973171045
OLMo-2-0325-32B,OLMo-2-0325-32B-70pct,cruxeval_o_adv_OLMo-2-0325-32B-70pct,"pass@1,create_test",0.0,0.0,0.0,0.0,cruxeval_o_adv,0.7000000000000001,32,6.6925798973171045
OLMo-2-0325-32B,OLMo-2-0325-32B-70pct,gsm8k-platinum_adv_OLMo-2-0325-32B-70pct,"exact_match,flexible-extract",0.02,0.02,0.02,0.02,gsm8k-platinum_adv,0.7000000000000001,32,6.6925798973171045
OLMo-2-0325-32B,OLMo-2-0325-32B-70pct,gsm8k_adv_OLMo-2-0325-32B-70pct,"exact_match,flexible-extract",0.0147058823529411,0.0147058823529411,0.0147058823529411,0.0147058823529411,gsm8k_adv,0.7000000000000001,32,6.6925798973171045
OLMo-2-0325-32B,OLMo-2-0325-32B-70pct,triviaqa_adv_OLMo-2-0325-32B-70pct,"exact_match,none",0.0,0.0,0.0,0.0,triviaqa_adv,0.7000000000000001,32,6.6925798973171045
OLMo-2-0325-32B,OLMo-2-0325-32B-70pct,triviaqa_adv_OLMo-2-0325-32B-70pct,"answer_exists,none",0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,triviaqa_adv,0.7000000000000001,32,6.6925798973171045
OLMo-2-0325-32B,OLMo-2-0325-32B-80pct,bbh_adv_OLMo-2-0325-32B-80pct,"exact_match,get-answer",0.0170068027210884,0.0153061224489795,0.0153061224489795,0.0158730158730158,bbh_adv,0.8,32,6.826111289941627
OLMo-2-0325-32B,OLMo-2-0325-32B-80pct,cruxeval_i_adv_OLMo-2-0325-32B-80pct,"pass@1,create_test",0.0331491712707182,0.0331491712707182,0.0276243093922651,0.0313075506445672,cruxeval_i_adv,0.8,32,6.826111289941627
OLMo-2-0325-32B,OLMo-2-0325-32B-80pct,cruxeval_o_adv_OLMo-2-0325-32B-80pct,"pass@1,create_test",0.0205761316872428,0.0164609053497942,0.0164609053497942,0.017832647462277,cruxeval_o_adv,0.8,32,6.826111289941627
OLMo-2-0325-32B,OLMo-2-0325-32B-80pct,gsm8k-platinum_adv_OLMo-2-0325-32B-80pct,"exact_match,flexible-extract",0.04,0.04,0.04,0.04,gsm8k-platinum_adv,0.8,32,6.826111289941627
OLMo-2-0325-32B,OLMo-2-0325-32B-80pct,gsm8k_adv_OLMo-2-0325-32B-80pct,"exact_match,flexible-extract",0.0294117647058823,0.0294117647058823,0.0294117647058823,0.0294117647058823,gsm8k_adv,0.8,32,6.826111289941627
OLMo-2-0325-32B,OLMo-2-0325-32B-80pct,triviaqa_adv_OLMo-2-0325-32B-80pct,"exact_match,none",0.0,0.0,0.0,0.0,triviaqa_adv,0.8,32,6.826111289941627
OLMo-2-0325-32B,OLMo-2-0325-32B-80pct,triviaqa_adv_OLMo-2-0325-32B-80pct,"answer_exists,none",0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,triviaqa_adv,0.8,32,6.826111289941627
OLMo-2-0325-32B,OLMo-2-0325-32B-89pct,bbh_adv_OLMo-2-0325-32B-89pct,"exact_match,get-answer",0.0136054421768707,0.0136054421768707,0.0136054421768707,0.0136054421768707,bbh_adv,0.89,32,6.932721024999885
OLMo-2-0325-32B,OLMo-2-0325-32B-89pct,cruxeval_i_adv_OLMo-2-0325-32B-89pct,"pass@1,create_test",0.0220994475138121,0.0276243093922651,0.0220994475138121,0.0239410681399631,cruxeval_i_adv,0.89,32,6.932721024999885
