Model,Checkpoint,Task,Metric,Run 1,Run 2,Run 3,Average,Percentage,olmo-params,Flops
OLMo-2-0325-32B,OLMo-2-0325-32B-42pct,gsm8k-platinum_adv,"exact_match,flexible-extract",0.0825732700960719,0.0824516599781101,0.0823300498601483,0.0824516599781101,0.42,32,6.181754273551114
OLMo-2-0325-32B,OLMo-2-0325-32B-42pct,gsm8k_adv,"exact_match,flexible-extract",0.0834619625137817,0.0832414553472987,0.083792723263506,0.0834987137081955,0.42,32,6.181754273551114
OLMo-2-0325-32B,OLMo-2-0325-32B-42pct,triviaqa_adv,"exact_match,none",0.0645052347180006,0.0641675109760216,0.0651806822019588,0.0646178092986603,0.42,32,6.181754273551114
OLMo-2-0325-32B,OLMo-2-0325-32B-42pct,triviaqa_adv,"answer_exists,none",0.0793650793650793,0.0793650793650793,0.0797028031070584,0.079477653945739,0.42,32,6.181754273551114
OLMo-2-0325-32B,OLMo-2-0325-32B-50pct,bbh_adv,"exact_match,get-answer",0.0648133927200122,0.0649669789586853,0.0643526340039932,0.0647110018942302,0.5,32,6.3561076606958915
OLMo-2-0325-32B,OLMo-2-0325-32B-50pct,cruxeval_i_adv,"pass@1,create_test",0.1157024793388429,0.112396694214876,0.1140495867768595,0.1140495867768595,0.5,32,6.3561076606958915
OLMo-2-0325-32B,OLMo-2-0325-32B-50pct,cruxeval_o_adv,"pass@1,create_test",0.0866477272727272,0.0852272727272727,0.0852272727272727,0.0857007575757575,0.5,32,6.3561076606958915
OLMo-2-0325-32B,OLMo-2-0325-32B-50pct,gsm8k-platinum_adv,"exact_match,flexible-extract",0.0758847136081722,0.0761279338440958,0.0751550529004013,0.0757225667842231,0.5,32,6.3561076606958915
OLMo-2-0325-32B,OLMo-2-0325-32B-50pct,gsm8k_adv,"exact_match,flexible-extract",0.0764057331863285,0.0768467475192943,0.0760749724366041,0.0764424843807423,0.5,32,6.3561076606958915
OLMo-2-0325-32B,OLMo-2-0325-32B-50pct,triviaqa_adv,"exact_match,none",0.0952380952380952,0.0949003714961161,0.0952380952380952,0.0951255206574355,0.5,32,6.3561076606958915
OLMo-2-0325-32B,OLMo-2-0325-32B-50pct,triviaqa_adv,"answer_exists,none",0.1168524147247551,0.116514690982776,0.116514690982776,0.1166272655634357,0.5,32,6.3561076606958915
OLMo-2-0325-32B,OLMo-2-0325-32B-60pct,bbh_adv,"exact_match,get-answer",0.1161111964367992,0.1159576101981262,0.1164183689141453,0.1161623918496902,0.6,32,6.5384292174898455
OLMo-2-0325-32B,OLMo-2-0325-32B-60pct,cruxeval_i_adv,"pass@1,create_test",0.0512396694214876,0.0512396694214876,0.0495867768595041,0.0506887052341597,0.6,32,6.5384292174898455
OLMo-2-0325-32B,OLMo-2-0325-32B-60pct,cruxeval_o_adv,"pass@1,create_test",0.1008522727272727,0.1036931818181818,0.1051136363636363,0.1032196969696969,0.6,32,6.5384292174898455
OLMo-2-0325-32B,OLMo-2-0325-32B-60pct,gsm8k-platinum_adv,"exact_match,flexible-extract",0.1167457132433418,0.1171105435972272,0.1171105435972272,0.1169889334792654,0.6,32,6.5384292174898455
OLMo-2-0325-32B,OLMo-2-0325-32B-60pct,gsm8k_adv,"exact_match,flexible-extract",0.1087100330760749,0.1099228224917309,0.1094818081587651,0.1093715545755237,0.6,32,6.5384292174898455
OLMo-2-0325-32B,OLMo-2-0325-32B-60pct,triviaqa_adv,"exact_match,none",0.0256670043904086,0.0256670043904086,0.0253292806484295,0.0255544298097489,0.6,32,6.5384292174898455
OLMo-2-0325-32B,OLMo-2-0325-32B-60pct,triviaqa_adv,"answer_exists,none",0.0341100979398851,0.0344478216818642,0.0337723741979061,0.0341100979398851,0.6,32,6.5384292174898455
OLMo-2-0325-32B,OLMo-2-0325-32B-70pct,bbh_adv,"exact_match,get-answer",0.1059745046843802,0.1061280909230533,0.1056673322070342,0.1059233092714892,0.7000000000000001,32,6.6925798973171045
OLMo-2-0325-32B,OLMo-2-0325-32B-70pct,cruxeval_i_adv,"pass@1,create_test",0.0677685950413223,0.0710743801652892,0.0694214876033057,0.0694214876033057,0.7000000000000001,32,6.6925798973171045
OLMo-2-0325-32B,OLMo-2-0325-32B-70pct,cruxeval_o_adv,"pass@1,create_test",0.0880681818181818,0.09375,0.09375,0.0918560606060606,0.7000000000000001,32,6.6925798973171045
OLMo-2-0325-32B,OLMo-2-0325-32B-70pct,gsm8k-platinum_adv,"exact_match,flexible-extract",0.100206737200535,0.0999635169646114,0.0992338562568405,0.0998013701406623,0.7000000000000001,32,6.6925798973171045
OLMo-2-0325-32B,OLMo-2-0325-32B-70pct,gsm8k_adv,"exact_match,flexible-extract",0.0979051819184123,0.0974641675854465,0.0981256890848952,0.0978316795295847,0.7000000000000001,32,6.6925798973171045
OLMo-2-0325-32B,OLMo-2-0325-32B-70pct,triviaqa_adv,"exact_match,none",0.0425531914893617,0.0428909152313407,0.0435663627152988,0.0430034898120004,0.7000000000000001,32,6.6925798973171045
OLMo-2-0325-32B,OLMo-2-0325-32B-70pct,triviaqa_adv,"answer_exists,none",0.0655184059439378,0.0655184059439378,0.066531577169875,0.0658561296859169,0.7000000000000001,32,6.6925798973171045
OLMo-2-0325-32B,OLMo-2-0325-32B-80pct,bbh_adv,"exact_match,get-answer",0.1088926432191675,0.1095069881738596,0.1093534019351866,0.1092510111094046,0.8,32,6.826111289941627
OLMo-2-0325-32B,OLMo-2-0325-32B-80pct,cruxeval_i_adv,"pass@1,create_test",0.0925619834710743,0.0925619834710743,0.0925619834710743,0.0925619834710743,0.8,32,6.826111289941627
OLMo-2-0325-32B,OLMo-2-0325-32B-80pct,cruxeval_o_adv,"pass@1,create_test",0.1448863636363636,0.1477272727272727,0.1477272727272727,0.146780303030303,0.8,32,6.826111289941627
OLMo-2-0325-32B,OLMo-2-0325-32B-80pct,gsm8k-platinum_adv,"exact_match,flexible-extract",0.1411893469536665,0.1417973975434756,0.1425270582512465,0.1418379342494629,0.8,32,6.826111289941627
OLMo-2-0325-32B,OLMo-2-0325-32B-80pct,gsm8k_adv,"exact_match,flexible-extract",0.1373759647188533,0.136824696802646,0.1364939360529217,0.1368981991914737,0.8,32,6.826111289941627
OLMo-2-0325-32B,OLMo-2-0325-32B-80pct,triviaqa_adv,"exact_match,none",0.1148260722728807,0.1138129010469436,0.1141506247889226,0.1142631993695823,0.8,32,6.826111289941627
OLMo-2-0325-32B,OLMo-2-0325-32B-80pct,triviaqa_adv,"answer_exists,none",0.1509625126646403,0.1502870651806822,0.1502870651806822,0.1505122143420015,0.8,32,6.826111289941627
OLMo-2-0325-32B,OLMo-2-0325-32B-89pct,bbh_adv,"exact_match,get-answer",0.0671171863001075,0.0661956688680694,0.0666564275840884,0.0666564275840884,0.89,32,6.932721024999885
OLMo-2-0325-32B,OLMo-2-0325-32B-89pct,cruxeval_i_adv,"pass@1,create_test",0.084297520661157,0.0876033057851239,0.08099173553719,0.084297520661157,0.89,32,6.932721024999885
OLMo-2-0325-32B,OLMo-2-0325-32B-89pct,cruxeval_o_adv,"pass@1,create_test",0.2329545454545454,0.234375,0.234375,0.2339015151515151,0.89,32,6.932721024999885
OLMo-2-0325-32B,OLMo-2-0325-32B-89pct,gsm8k-platinum_adv,"exact_match,flexible-extract",0.1383923142405448,0.138878754712392,0.1386355344764684,0.1386355344764684,0.89,32,6.932721024999885
OLMo-2-0325-32B,OLMo-2-0325-32B-89pct,gsm8k_adv,"exact_match,flexible-extract",0.1353914002205071,0.1346196251378169,0.1341786108048511,0.1347298787210584,0.89,32,6.932721024999885
OLMo-2-0325-32B,OLMo-2-0325-32B-89pct,triviaqa_adv,"exact_match,none",0.0513340087808172,0.0520094562647754,0.0513340087808172,0.0515591579421366,0.89,32,6.932721024999885
OLMo-2-0325-32B,OLMo-2-0325-32B-89pct,triviaqa_adv,"answer_exists,none",0.0726106045254981,0.0729483282674772,0.072272880783519,0.0726106045254981,0.89,32,6.932721024999885
OLMo-2-0325-32B,OLMo-2-0325-32B-9pct,bbh_adv,"exact_match,get-answer",0.0442328367378282,0.0439256642604822,0.0445400092151743,0.0442328367378282,0.09,32,4.641309232603964
OLMo-2-0325-32B,OLMo-2-0325-32B-9pct,cruxeval_i_adv,"pass@1,create_test",0.0181818181818181,0.0165289256198347,0.0181818181818181,0.0176308539944903,0.09,32,4.641309232603964
OLMo-2-0325-32B,OLMo-2-0325-32B-9pct,cruxeval_o_adv,"pass@1,create_test",0.065340909090909,0.065340909090909,0.065340909090909,0.065340909090909,0.09,32,4.641309232603964
OLMo-2-0325-32B,OLMo-2-0325-32B-9pct,gsm8k-platinum_adv,"exact_match,flexible-extract",0.0460902347075276,0.0459686245895658,0.0460902347075276,0.0460496980015404,0.09,32,4.641309232603964
